alert_id,hit_id,customer_id,account_id,scenario_id,window_start,window_end,transaction_count,amount_try,evidence_value,threshold_value,source_transaction_ids,rationale,kyc_risk_score,kyc_risk_band,kyc_overdue_flag,anomaly_score,anomaly_flag,graph_risk_score,short_cycle_member,total_degree,scenario_severity,alert_score,priority,recommended_action,alert_explanation
AL000001,H000009,C000550,A0001105,CIRCULAR_TRANSFER,2026-07-04 12:00:00,2026-07-04 20:00:00,3,445931.100000,3.000000,3.000000,T000048235|T000048236|T000048237,A short internal transfer cycle connected three synthetic customers.,22.000000,LOW,False,97.830000,True,90.390000,True,40,95.000000,83.260000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=22.0; anomaly=97.8; graph=90.4
AL000002,H000005,C000087,A0001991,CIRCULAR_TRANSFER,2026-07-09 12:00:00,2026-07-09 20:00:00,3,423007.530000,3.000000,3.000000,T000048241|T000048242|T000048243,A short internal transfer cycle connected three synthetic customers.,30.000000,MEDIUM,True,95.110000,True,75.260000,True,28,95.000000,82.640000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=30.0; anomaly=95.1; graph=75.3
AL000003,H000018,C001180,A0001533,CIRCULAR_TRANSFER,2026-07-04 12:00:00,2026-07-04 20:00:00,3,445931.100000,3.000000,3.000000,T000048235|T000048236|T000048237,A short internal transfer cycle connected three synthetic customers.,33.000000,MEDIUM,True,99.000000,True,60.740000,True,16,95.000000,82.210000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=33.0; anomaly=99.0; graph=60.7
AL000004,H000025,C001508,A0000731,CIRCULAR_TRANSFER,2026-08-11 12:00:00,2026-08-11 18:00:00,3,422477.130000,3.000000,3.000000,T000048396|T000048397|T000048398,A short internal transfer cycle connected three synthetic customers.,17.000000,LOW,True,93.060000,False,94.220000,True,62,95.000000,82.170000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=17.0; anomaly=93.1; graph=94.2
AL000005,H000027,C001650,A0001935,CIRCULAR_TRANSFER,2026-07-22 12:00:00,2026-07-22 20:00:00,3,785625.160000,3.000000,3.000000,T000048250|T000048251|T000048252,A short internal transfer cycle connected three synthetic customers.,17.000000,LOW,False,93.110000,False,91.850000,True,43,95.000000,81.940000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=17.0; anomaly=93.1; graph=91.8
AL000006,H000001,C000050,A0000496,CIRCULAR_TRANSFER,2026-07-22 12:00:00,2026-07-22 20:00:00,3,785625.160000,3.000000,3.000000,T000048250|T000048251|T000048252,A short internal transfer cycle connected three synthetic customers.,21.000000,LOW,True,93.330000,False,84.090000,True,33,95.000000,81.840000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=21.0; anomaly=93.3; graph=84.1
AL000007,H000024,C001462,A0002124,CIRCULAR_TRANSFER,2026-08-11 12:00:00,2026-08-11 18:00:00,3,422477.130000,3.000000,3.000000,T000048396|T000048397|T000048398,A short internal transfer cycle connected three synthetic customers.,26.000000,LOW,False,93.170000,False,76.250000,True,30,95.000000,81.830000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=26.0; anomaly=93.2; graph=76.2
AL000008,H000019,C001216,A0000127,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,726432.950000,3.000000,3.000000,T000048247|T000048248|T000048249,A short internal transfer cycle connected three synthetic customers.,9.000000,LOW,True,98.780000,True,94.650000,True,61,95.000000,81.730000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=9.0; anomaly=98.8; graph=94.7
AL000009,H000010,C000626,A0000609,CIRCULAR_TRANSFER,2026-08-14 12:00:00,2026-08-14 20:00:00,3,799436.070000,3.000000,3.000000,T000048232|T000048233|T000048234,A short internal transfer cycle connected three synthetic customers.,23.000000,LOW,True,93.830000,False,79.010000,True,30,95.000000,81.720000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=23.0; anomaly=93.8; graph=79.0
AL000010,H000026,C001531,A0001298,CIRCULAR_TRANSFER,2026-08-15 12:00:00,2026-08-15 18:00:00,3,383314.230000,3.000000,3.000000,T000048393|T000048394|T000048395,A short internal transfer cycle connected three synthetic customers.,17.000000,LOW,True,90.780000,False,87.280000,True,36,95.000000,81.160000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=17.0; anomaly=90.8; graph=87.3
AL000011,H000030,C001786,A0002062,CIRCULAR_TRANSFER,2026-07-13 12:00:00,2026-07-13 20:00:00,3,661108.670000,3.000000,3.000000,T000048244|T000048245|T000048246,A short internal transfer cycle connected three synthetic customers.,15.000000,LOW,True,90.280000,False,90.070000,True,39,95.000000,81.050000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=15.0; anomaly=90.3; graph=90.1
AL000012,H000023,C001409,A0001573,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,726432.950000,3.000000,3.000000,T000048247|T000048248|T000048249,A short internal transfer cycle connected three synthetic customers.,16.000000,LOW,False,97.940000,True,77.280000,True,29,95.000000,81.000000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=16.0; anomaly=97.9; graph=77.3
AL000013,H000012,C000873,A0000102,CIRCULAR_TRANSFER,2026-08-14 12:00:00,2026-08-14 20:00:00,3,799436.070000,3.000000,3.000000,T000048232|T000048233|T000048234,A short internal transfer cycle connected three synthetic customers.,15.000000,LOW,False,96.610000,True,79.040000,True,31,95.000000,80.830000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=15.0; anomaly=96.6; graph=79.0
AL000014,H000017,C001152,A0000971,CIRCULAR_TRANSFER,2026-08-14 12:00:00,2026-08-14 20:00:00,3,799436.070000,3.000000,3.000000,T000048232|T000048233|T000048234,A short internal transfer cycle connected three synthetic customers.,12.000000,LOW,True,92.280000,False,89.740000,True,39,95.000000,80.810000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=12.0; anomaly=92.3; graph=89.7
AL000015,H000002,C000052,A0000933,CIRCULAR_TRANSFER,2026-07-04 12:00:00,2026-07-04 20:00:00,3,445931.100000,3.000000,3.000000,T000048235|T000048236|T000048237,A short internal transfer cycle connected three synthetic customers.,9.000000,LOW,False,91.720000,False,91.040000,True,41,95.000000,80.380000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=9.0; anomaly=91.7; graph=91.0
AL000016,H000021,C001284,A0000319,CIRCULAR_TRANSFER,2026-07-13 12:00:00,2026-07-13 20:00:00,3,661108.670000,3.000000,3.000000,T000048244|T000048245|T000048246,A short internal transfer cycle connected three synthetic customers.,12.000000,LOW,False,99.500000,True,75.160000,True,28,95.000000,80.370000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=12.0; anomaly=99.5; graph=75.2
AL000017,H000098,C000942,A0001205,RAPID_MOVEMENT,2026-06-30 14:00:00,2026-06-30 19:00:00,2,962144.070000,0.831000,0.800000,T000048099|T000048100,Material incoming funds were followed by rapid outbound movement.,50.000000,HIGH,True,98.000000,True,58.380000,False,33,88.000000,80.360000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=RAPID_MOVEMENT:88; KYC=50.0; anomaly=98.0; graph=58.4
AL000018,H000016,C001105,A0000347,CIRCULAR_TRANSFER,2026-07-09 12:00:00,2026-07-09 20:00:00,3,423007.530000,3.000000,3.000000,T000048241|T000048242|T000048243,A short internal transfer cycle connected three synthetic customers.,15.000000,LOW,True,91.060000,False,81.310000,True,31,95.000000,80.280000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=15.0; anomaly=91.1; graph=81.3
AL000019,H000029,C001741,A0002092,CIRCULAR_TRANSFER,2026-06-27 12:00:00,2026-06-27 20:00:00,3,459519.170000,3.000000,3.000000,T000048229|T000048230|T000048231,A short internal transfer cycle connected three synthetic customers.,15.000000,LOW,True,98.330000,True,69.460000,True,25,95.000000,80.110000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=15.0; anomaly=98.3; graph=69.5
AL000020,H000011,C000646,A0001792,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,726432.950000,3.000000,3.000000,T000048247|T000048248|T000048249,A short internal transfer cycle connected three synthetic customers.,17.000000,LOW,True,91.890000,False,75.060000,True,28,95.000000,80.090000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=17.0; anomaly=91.9; graph=75.1
AL000021,H000015,C001016,A0002205,CIRCULAR_TRANSFER,2026-06-27 12:00:00,2026-06-27 20:00:00,3,459519.170000,3.000000,3.000000,T000048229|T000048230|T000048231,A short internal transfer cycle connected three synthetic customers.,9.000000,LOW,False,92.610000,False,86.570000,True,35,95.000000,80.060000,HIGH,Senior analyst review; preserve evidence; consider enhanced due diligence,scenario=CIRCULAR_TRANSFER:95; KYC=9.0; anomaly=92.6; graph=86.6
AL000022,H000003,C000054,A0000668,CIRCULAR_TRANSFER,2026-07-22 12:00:00,2026-07-22 20:00:00,3,785625.160000,3.000000,3.000000,T000048250|T000048251|T000048252,A short internal transfer cycle connected three synthetic customers.,15.000000,LOW,True,90.390000,False,77.010000,True,29,95.000000,79.760000,MEDIUM,Analyst review with customer and counterparty context,scenario=CIRCULAR_TRANSFER:95; KYC=15.0; anomaly=90.4; graph=77.0
