customer_id,transaction_count,total_amount_try,unique_counterparties,maximum_transaction_try,turnover_deviation,cash_ratio,high_risk_ratio,out_in_ratio,anomaly_score,anomaly_flag
C000001,34.000000,220224.760000,33.000000,18246.010000,0.542025,0.082436,0.000000,0.906036,35.940000,False
C000002,38.000000,174528.000000,37.000000,19828.440000,0.830844,0.178683,0.000000,1.135634,48.500000,False
C000003,20.000000,46006.570000,20.000000,6017.460000,0.281189,0.079743,0.000000,1.248880,15.060000,False
C000004,25.000000,19613.460000,25.000000,2666.670000,0.430577,0.058199,0.000000,0.630287,10.500000,False
C000005,54.000000,634580.450000,54.000000,217108.260000,3.295287,0.021543,0.008778,0.798712,95.610000,True
C000006,25.000000,129335.350000,25.000000,12146.970000,0.327439,0.137449,0.000000,0.767940,0.060000,False
C000007,15.000000,10683.200000,15.000000,1347.210000,0.203812,0.226296,0.091159,3.092663,88.670000,False
C000008,63.000000,160408.180000,63.000000,12054.790000,1.385281,0.122354,0.000000,0.975339,89.560000,False
C000009,21.000000,36911.790000,21.000000,4517.830000,0.280118,0.176649,0.055609,2.425326,68.390000,False
C000010,30.000000,214035.480000,30.000000,19327.790000,0.600548,0.268488,0.000000,0.911661,38.110000,False
C000011,26.000000,68427.980000,26.000000,6990.340000,0.317367,0.382636,0.000000,1.639352,44.890000,False
C000012,23.000000,22066.470000,22.000000,2597.080000,0.448879,0.182537,0.000000,0.804243,4.560000,False
C000013,17.000000,381381.770000,17.000000,64189.060000,0.436774,0.188822,0.000000,2.106411,59.560000,False
C000014,23.000000,241954.150000,23.000000,34990.330000,0.430487,0.151414,0.000000,0.976025,10.720000,False
C000015,31.000000,311383.860000,30.000000,76262.580000,0.587012,0.164448,0.000000,0.431173,51.440000,False
C000016,47.000000,42361.530000,47.000000,4691.060000,0.749788,0.167584,0.000000,1.016106,63.280000,False
C000017,26.000000,57847.520000,26.000000,6044.820000,0.410641,0.174627,0.000000,0.546491,6.390000,False
C000018,20.000000,304335.280000,20.000000,64303.080000,0.374071,0.243488,0.000000,1.413581,44.390000,False
C000019,24.000000,13213.460000,24.000000,3865.850000,0.487096,0.140588,0.000000,0.526230,12.060000,False
C000020,24.000000,114153.040000,24.000000,14900.970000,0.384181,0.054275,0.000000,1.681922,6.940000,False
C000021,33.000000,514968.220000,33.000000,79223.530000,0.574106,0.028102,0.003604,0.537747,71.220000,False
C000022,23.000000,571255.370000,23.000000,61737.380000,0.679422,0.130594,0.000000,2.027595,60.560000,False
C000023,28.000000,46206.930000,28.000000,7822.950000,0.459107,0.120837,0.000000,0.725638,11.670000,False
C000024,23.000000,77844.340000,23.000000,10100.220000,0.378961,0.349686,0.000000,1.102224,32.780000,False
C000025,25.000000,146741.280000,25.000000,31343.190000,0.448289,0.172764,0.000000,0.898225,2.610000,False
