customer_id,in_degree,out_degree,total_degree,pagerank,component_size,short_cycle_member,degree_percentile,pagerank_percentile,component_percentile,graph_risk_score
C000001,9,16,25,0.000259,1800,False,27.694444,1.666667,50.027778,15.280000
C000002,13,24,37,0.000605,1800,False,81.527778,68.666667,50.027778,57.570000
C000003,17,12,29,0.000526,1800,False,49.861111,50.722222,50.027778,40.210000
C000004,11,18,29,0.000436,1800,False,49.861111,28.055556,50.027778,32.270000
C000005,21,24,45,0.000737,1800,False,93.277778,86.500000,50.027778,67.920000
C000006,7,12,19,0.000286,1800,False,6.166667,3.222222,50.027778,8.290000
C000007,7,9,16,0.000210,1800,False,2.722222,0.111111,50.027778,5.990000
C000008,10,29,39,0.000358,1800,False,85.972222,11.277778,50.027778,39.040000
C000009,21,9,30,0.000630,1800,False,55.527778,73.166667,50.027778,50.050000
C000010,11,18,29,0.000380,1800,False,49.861111,16.111111,50.027778,28.090000
C000011,14,15,29,0.000376,1800,False,49.861111,15.000000,50.027778,27.700000
C000012,15,15,30,0.000718,1800,False,55.527778,84.833333,50.027778,54.130000
C000013,18,8,26,0.000454,1800,False,32.611111,32.333333,50.027778,27.730000
C000014,12,12,24,0.000544,1800,False,22.416667,55.055556,50.027778,32.120000
C000015,15,17,32,0.000619,1800,False,65.777778,71.500000,50.027778,53.050000
C000016,15,29,44,0.000590,1800,False,92.500000,65.333333,50.027778,60.240000
C000017,6,13,19,0.000289,1800,False,6.166667,3.611111,50.027778,8.430000
C000018,18,8,26,0.000645,1800,False,32.611111,76.000000,50.027778,43.020000
C000019,21,16,37,0.000614,1800,False,81.527778,70.444444,50.027778,58.190000
C000020,13,12,25,0.000423,1800,False,27.694444,25.000000,50.027778,23.450000
C000021,17,20,37,0.000503,1800,False,81.527778,45.888889,50.027778,49.600000
C000022,14,21,35,0.000406,1800,False,76.305556,21.555556,50.027778,39.250000
C000023,11,12,23,0.000434,1800,False,17.750000,27.388889,50.027778,20.800000
C000024,23,14,37,0.000773,1800,False,81.527778,90.000000,50.027778,65.040000
C000025,23,17,40,0.000707,1800,False,87.722222,83.833333,50.027778,65.050000
C000026,19,29,48,0.000488,1800,False,95.861111,41.611111,50.027778,53.120000
C000027,15,26,41,0.000557,1800,False,89.222222,57.944444,50.027778,56.510000
C000028,8,18,26,0.000249,1800,False,32.611111,1.333333,50.027778,16.880000
C000029,15,13,28,0.000569,1800,False,43.750000,60.722222,50.027778,41.570000
C000030,16,22,38,0.000399,1800,False,83.888889,19.500000,50.027778,41.190000
C000031,10,9,19,0.000351,1800,False,6.166667,10.277778,50.027778,10.760000
C000032,18,11,29,0.000589,1800,False,49.861111,65.000000,50.027778,45.200000
C000033,13,7,20,0.000568,1800,False,8.277778,60.611111,50.027778,29.110000
C000034,13,16,29,0.000422,1800,False,49.861111,24.722222,50.027778,31.110000
C000035,8,14,22,0.000402,1800,False,13.944444,20.611111,50.027778,17.100000
C000036,17,13,30,0.000492,1800,False,55.527778,42.666667,50.027778,39.370000
C000037,20,8,28,0.000636,1800,False,43.750000,74.500000,50.027778,46.390000
C000038,9,0,9,0.000442,1800,False,0.277778,29.111111,50.027778,15.290000
C000039,17,0,17,0.000471,1800,False,3.583333,37.555556,50.027778,19.400000
C000040,15,16,31,0.000616,1800,False,60.888889,71.000000,50.027778,51.160000
C000041,8,17,25,0.000503,1800,False,27.694444,45.944444,50.027778,30.780000
C000042,17,10,27,0.000425,1800,False,37.722222,25.555556,50.027778,27.150000
C000043,15,18,33,0.000488,1800,False,69.666667,41.666667,50.027778,43.970000
C000044,20,8,28,0.000588,1800,False,43.750000,64.611111,50.027778,42.930000
C000045,21,41,62,0.000744,1800,False,99.444444,87.222222,50.027778,70.340000
C000046,13,18,31,0.000638,1800,False,60.888889,74.722222,50.027778,52.470000
C000047,17,16,33,0.000503,1800,False,69.666667,45.777778,50.027778,45.410000
C000048,19,11,30,0.000564,1800,False,55.527778,59.500000,50.027778,45.260000
C000049,12,31,43,0.000302,1800,False,91.777778,5.111111,50.027778,38.910000
C000050,17,16,33,0.001620,1800,True,69.666667,99.166667,50.027778,84.090000
C000051,17,8,25,0.000461,1800,False,27.694444,34.111111,50.027778,26.630000
C000052,12,29,41,0.001797,1800,True,89.222222,99.444444,50.027778,91.040000
C000053,12,23,35,0.000525,1800,False,76.305556,50.500000,50.027778,49.380000
C000054,17,12,29,0.001329,1800,True,49.861111,98.722222,50.027778,77.010000
C000055,10,20,30,0.000435,1800,False,55.527778,27.777778,50.027778,34.160000
C000056,18,15,33,0.000692,1800,False,69.666667,82.055556,50.027778,58.110000
C000057,13,7,20,0.000399,1800,False,8.277778,19.833333,50.027778,14.840000
C000058,22,10,32,0.000880,1800,False,65.777778,95.055556,50.027778,61.290000
C000059,11,18,29,0.000503,1800,False,49.861111,45.833333,50.027778,38.500000
C000060,10,11,21,0.000453,1800,False,10.777778,32.222222,50.027778,20.050000
C000061,14,13,27,0.000583,1800,False,37.722222,63.666667,50.027778,40.490000
C000062,18,18,36,0.000487,1800,False,79.055556,41.388889,50.027778,47.160000
C000063,15,11,26,0.000525,1800,False,32.611111,50.611111,50.027778,34.130000
C000064,15,23,38,0.000790,1800,False,83.888889,91.444444,50.027778,66.370000
C000065,16,13,29,0.000471,1800,False,49.861111,37.166667,50.027778,35.460000
C000066,13,20,33,0.000565,1800,False,69.666667,59.777778,50.027778,50.310000
C000067,17,19,36,0.000648,1800,False,79.055556,76.444444,50.027778,59.430000
C000068,19,35,54,0.000643,1800,False,98.472222,75.611111,50.027778,65.930000
C000069,13,16,29,0.000352,1800,False,49.861111,10.444444,50.027778,26.110000
C000070,16,43,59,0.000649,1800,False,99.138889,76.500000,50.027778,66.480000
C000071,11,16,27,0.000457,1800,False,37.722222,33.055556,50.027778,29.780000
C000072,14,14,28,0.000467,1800,False,43.750000,36.055556,50.027778,32.930000
C000073,17,11,28,0.000561,1800,False,43.750000,58.944444,50.027778,40.950000
C000074,12,15,27,0.000410,1800,False,37.722222,22.333333,50.027778,26.020000
C000075,15,7,22,0.000676,1800,False,13.944444,80.222222,50.027778,37.960000
C000076,16,24,40,0.000454,1800,False,87.722222,32.277778,50.027778,47.000000
