customer_id,geography_score,pep_score,watchlist_score,occupation_score,channel_score,control_gap_score,kyc_risk_score,kyc_risk_band,kyc_overdue_flag,risk_reason
C000001,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000002,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000003,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,False,geography=5; channel=5; occupation=2
C000004,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000005,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000006,5.000000,22.000000,0.000000,2.000000,2.000000,0.000000,31.000000,MEDIUM,True,PEP=22; geography=5; occupation=2
C000007,30.000000,0.000000,0.000000,2.000000,2.000000,0.000000,34.000000,MEDIUM,False,geography=30; occupation=2; channel=2
C000008,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000009,5.000000,0.000000,0.000000,2.000000,8.000000,12.000000,27.000000,LOW,True,KYC control gap=12; channel=8; geography=5
C000010,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000011,5.000000,0.000000,0.000000,2.000000,8.000000,12.000000,27.000000,LOW,False,KYC control gap=12; channel=8; geography=5
C000012,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000013,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000014,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000015,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000016,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000017,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000018,5.000000,0.000000,0.000000,20.000000,2.000000,0.000000,27.000000,LOW,False,occupation=20; geography=5; channel=2
C000019,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000020,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000021,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000022,18.000000,0.000000,0.000000,20.000000,2.000000,0.000000,40.000000,MEDIUM,False,occupation=20; geography=18; channel=2
C000023,5.000000,0.000000,0.000000,2.000000,5.000000,12.000000,24.000000,LOW,True,KYC control gap=12; geography=5; channel=5
C000024,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000025,18.000000,0.000000,0.000000,2.000000,2.000000,0.000000,22.000000,LOW,True,geography=18; occupation=2; channel=2
C000026,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000027,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000028,6.000000,0.000000,0.000000,2.000000,8.000000,0.000000,16.000000,LOW,True,channel=8; geography=6; occupation=2
C000029,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000030,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000031,16.000000,0.000000,0.000000,20.000000,8.000000,0.000000,44.000000,MEDIUM,False,occupation=20; geography=16; channel=8
C000032,6.000000,0.000000,0.000000,10.000000,8.000000,12.000000,36.000000,MEDIUM,False,KYC control gap=12; occupation=10; channel=8
C000033,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000034,5.000000,0.000000,0.000000,2.000000,8.000000,12.000000,27.000000,LOW,False,KYC control gap=12; channel=8; geography=5
C000035,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,False,geography=5; channel=5; occupation=2
C000036,5.000000,0.000000,0.000000,20.000000,2.000000,0.000000,27.000000,LOW,False,occupation=20; geography=5; channel=2
C000037,6.000000,0.000000,0.000000,2.000000,8.000000,0.000000,16.000000,LOW,True,channel=8; geography=6; occupation=2
C000038,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000039,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000040,5.000000,0.000000,0.000000,20.000000,8.000000,0.000000,33.000000,MEDIUM,True,occupation=20; channel=8; geography=5
C000041,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000042,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,True,geography=5; occupation=2; channel=2
C000043,5.000000,0.000000,0.000000,2.000000,5.000000,12.000000,24.000000,LOW,False,KYC control gap=12; geography=5; channel=5
C000044,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000045,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000046,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,False,occupation=10; geography=5; channel=2
C000047,5.000000,0.000000,0.000000,2.000000,8.000000,12.000000,27.000000,LOW,False,KYC control gap=12; channel=8; geography=5
C000048,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000049,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000050,5.000000,0.000000,0.000000,2.000000,2.000000,12.000000,21.000000,LOW,True,KYC control gap=12; geography=5; occupation=2
C000051,5.000000,0.000000,0.000000,10.000000,2.000000,0.000000,17.000000,LOW,True,occupation=10; geography=5; channel=2
C000052,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000053,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000054,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,True,channel=8; geography=5; occupation=2
C000055,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000056,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000057,5.000000,0.000000,0.000000,2.000000,2.000000,0.000000,9.000000,LOW,False,geography=5; occupation=2; channel=2
C000058,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000059,5.000000,0.000000,0.000000,2.000000,5.000000,0.000000,12.000000,LOW,True,geography=5; channel=5; occupation=2
C000060,5.000000,0.000000,0.000000,10.000000,8.000000,0.000000,23.000000,LOW,False,occupation=10; channel=8; geography=5
C000061,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
C000062,5.000000,0.000000,0.000000,2.000000,8.000000,0.000000,15.000000,LOW,False,channel=8; geography=5; occupation=2
