hit_id,customer_id,account_id,scenario_id,window_start,window_end,transaction_count,amount_try,evidence_value,threshold_value,source_transaction_ids,rationale
H000001,C000050,A0000496,CIRCULAR_TRANSFER,2026-07-22 12:00:00,2026-07-22 20:00:00,3,785625.160000,3.000000,3.000000,T000048250|T000048251|T000048252,A short internal transfer cycle connected three synthetic customers.
H000002,C000052,A0000933,CIRCULAR_TRANSFER,2026-07-04 12:00:00,2026-07-04 20:00:00,3,445931.100000,3.000000,3.000000,T000048235|T000048236|T000048237,A short internal transfer cycle connected three synthetic customers.
H000003,C000054,A0000668,CIRCULAR_TRANSFER,2026-07-22 12:00:00,2026-07-22 20:00:00,3,785625.160000,3.000000,3.000000,T000048250|T000048251|T000048252,A short internal transfer cycle connected three synthetic customers.
H000004,C000084,A0000352,CIRCULAR_TRANSFER,2026-08-11 12:00:00,2026-08-11 18:00:00,3,422477.130000,3.000000,3.000000,T000048396|T000048397|T000048398,A short internal transfer cycle connected three synthetic customers.
H000005,C000087,A0001991,CIRCULAR_TRANSFER,2026-07-09 12:00:00,2026-07-09 20:00:00,3,423007.530000,3.000000,3.000000,T000048241|T000048242|T000048243,A short internal transfer cycle connected three synthetic customers.
H000006,C000389,A0001775,CIRCULAR_TRANSFER,2026-07-09 12:00:00,2026-07-09 20:00:00,3,423007.530000,3.000000,3.000000,T000048241|T000048242|T000048243,A short internal transfer cycle connected three synthetic customers.
H000007,C000448,A0000401,CIRCULAR_TRANSFER,2026-06-27 12:00:00,2026-06-27 20:00:00,3,459519.170000,3.000000,3.000000,T000048229|T000048230|T000048231,A short internal transfer cycle connected three synthetic customers.
H000008,C000536,A0001424,CIRCULAR_TRANSFER,2026-08-15 12:00:00,2026-08-15 18:00:00,3,383314.230000,3.000000,3.000000,T000048393|T000048394|T000048395,A short internal transfer cycle connected three synthetic customers.
H000009,C000550,A0001105,CIRCULAR_TRANSFER,2026-07-04 12:00:00,2026-07-04 20:00:00,3,445931.100000,3.000000,3.000000,T000048235|T000048236|T000048237,A short internal transfer cycle connected three synthetic customers.
H000010,C000626,A0000609,CIRCULAR_TRANSFER,2026-08-14 12:00:00,2026-08-14 20:00:00,3,799436.070000,3.000000,3.000000,T000048232|T000048233|T000048234,A short internal transfer cycle connected three synthetic customers.
H000011,C000646,A0001792,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,726432.950000,3.000000,3.000000,T000048247|T000048248|T000048249,A short internal transfer cycle connected three synthetic customers.
H000012,C000873,A0000102,CIRCULAR_TRANSFER,2026-08-14 12:00:00,2026-08-14 20:00:00,3,799436.070000,3.000000,3.000000,T000048232|T000048233|T000048234,A short internal transfer cycle connected three synthetic customers.
H000013,C000894,A0000022,CIRCULAR_TRANSFER,2026-07-13 12:00:00,2026-07-13 20:00:00,3,661108.670000,3.000000,3.000000,T000048244|T000048245|T000048246,A short internal transfer cycle connected three synthetic customers.
H000014,C000965,A0000234,CIRCULAR_TRANSFER,2026-08-15 12:00:00,2026-08-15 18:00:00,3,383314.230000,3.000000,3.000000,T000048393|T000048394|T000048395,A short internal transfer cycle connected three synthetic customers.
H000015,C001016,A0002205,CIRCULAR_TRANSFER,2026-06-27 12:00:00,2026-06-27 20:00:00,3,459519.170000,3.000000,3.000000,T000048229|T000048230|T000048231,A short internal transfer cycle connected three synthetic customers.
H000016,C001105,A0000347,CIRCULAR_TRANSFER,2026-07-09 12:00:00,2026-07-09 20:00:00,3,423007.530000,3.000000,3.000000,T000048241|T000048242|T000048243,A short internal transfer cycle connected three synthetic customers.
H000017,C001152,A0000971,CIRCULAR_TRANSFER,2026-08-14 12:00:00,2026-08-14 20:00:00,3,799436.070000,3.000000,3.000000,T000048232|T000048233|T000048234,A short internal transfer cycle connected three synthetic customers.
H000018,C001180,A0001533,CIRCULAR_TRANSFER,2026-07-04 12:00:00,2026-07-04 20:00:00,3,445931.100000,3.000000,3.000000,T000048235|T000048236|T000048237,A short internal transfer cycle connected three synthetic customers.
H000019,C001216,A0000127,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,726432.950000,3.000000,3.000000,T000048247|T000048248|T000048249,A short internal transfer cycle connected three synthetic customers.
H000020,C001218,A0000107,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,620312.620000,3.000000,3.000000,T000048238|T000048239|T000048240,A short internal transfer cycle connected three synthetic customers.
H000021,C001284,A0000319,CIRCULAR_TRANSFER,2026-07-13 12:00:00,2026-07-13 20:00:00,3,661108.670000,3.000000,3.000000,T000048244|T000048245|T000048246,A short internal transfer cycle connected three synthetic customers.
H000022,C001344,A0001866,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,620312.620000,3.000000,3.000000,T000048238|T000048239|T000048240,A short internal transfer cycle connected three synthetic customers.
H000023,C001409,A0001573,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,726432.950000,3.000000,3.000000,T000048247|T000048248|T000048249,A short internal transfer cycle connected three synthetic customers.
H000024,C001462,A0002124,CIRCULAR_TRANSFER,2026-08-11 12:00:00,2026-08-11 18:00:00,3,422477.130000,3.000000,3.000000,T000048396|T000048397|T000048398,A short internal transfer cycle connected three synthetic customers.
H000025,C001508,A0000731,CIRCULAR_TRANSFER,2026-08-11 12:00:00,2026-08-11 18:00:00,3,422477.130000,3.000000,3.000000,T000048396|T000048397|T000048398,A short internal transfer cycle connected three synthetic customers.
H000026,C001531,A0001298,CIRCULAR_TRANSFER,2026-08-15 12:00:00,2026-08-15 18:00:00,3,383314.230000,3.000000,3.000000,T000048393|T000048394|T000048395,A short internal transfer cycle connected three synthetic customers.
H000027,C001650,A0001935,CIRCULAR_TRANSFER,2026-07-22 12:00:00,2026-07-22 20:00:00,3,785625.160000,3.000000,3.000000,T000048250|T000048251|T000048252,A short internal transfer cycle connected three synthetic customers.
H000028,C001706,A0001772,CIRCULAR_TRANSFER,2026-06-29 12:00:00,2026-06-29 20:00:00,3,620312.620000,3.000000,3.000000,T000048238|T000048239|T000048240,A short internal transfer cycle connected three synthetic customers.
H000029,C001741,A0002092,CIRCULAR_TRANSFER,2026-06-27 12:00:00,2026-06-27 20:00:00,3,459519.170000,3.000000,3.000000,T000048229|T000048230|T000048231,A short internal transfer cycle connected three synthetic customers.
H000030,C001786,A0002062,CIRCULAR_TRANSFER,2026-07-13 12:00:00,2026-07-13 20:00:00,3,661108.670000,3.000000,3.000000,T000048244|T000048245|T000048246,A short internal transfer cycle connected three synthetic customers.
H000031,C000097,A0000823,DORMANT_REACTIVATION,2026-07-25 17:00:00,2026-07-25 17:00:00,1,353916.200000,353916.200000,100000.000000,T000048123,A dormant-designated account recorded material new activity.
H000032,C000153,A0001525,DORMANT_REACTIVATION,2026-08-05 16:00:00,2026-08-05 16:00:00,1,104041.330000,104041.330000,100000.000000,T000048403,A dormant-designated account recorded material new activity.
H000033,C000156,A0001053,DORMANT_REACTIVATION,2026-07-16 17:00:00,2026-07-16 17:00:00,1,452965.880000,452965.880000,100000.000000,T000048130,A dormant-designated account recorded material new activity.
H000034,C000162,A0000670,DORMANT_REACTIVATION,2026-08-11 15:00:00,2026-08-11 15:00:00,1,141503.240000,141503.240000,100000.000000,T000048279,A dormant-designated account recorded material new activity.
H000035,C000389,A0001775,DORMANT_REACTIVATION,2026-07-09 12:00:00,2026-07-09 12:00:00,1,143149.760000,143149.760000,100000.000000,T000048241,A dormant-designated account recorded material new activity.
H000036,C000626,A0000609,DORMANT_REACTIVATION,2026-08-14 12:00:00,2026-08-14 12:00:00,1,270536.740000,270536.740000,100000.000000,T000048232,A dormant-designated account recorded material new activity.
H000037,C000756,A0000866,DORMANT_REACTIVATION,2026-08-04 17:00:00,2026-08-04 17:00:00,1,156431.850000,156431.850000,100000.000000,T000048122,A dormant-designated account recorded material new activity.
H000038,C000922,A0000109,DORMANT_REACTIVATION,2026-08-13 17:00:00,2026-08-13 17:00:00,1,469198.030000,469198.030000,100000.000000,T000048126,A dormant-designated account recorded material new activity.
H000039,C000956,A0000266,DORMANT_REACTIVATION,2026-07-24 17:00:00,2026-07-24 17:00:00,1,218550.690000,218550.690000,100000.000000,T000048121,A dormant-designated account recorded material new activity.
H000040,C001026,A0000190,DORMANT_REACTIVATION,2026-08-12 15:00:00,2026-08-12 15:00:00,1,138219.070000,138219.070000,100000.000000,T000048272,A dormant-designated account recorded material new activity.
