account_id,customer_id,account_type,currency,opened_date,status,dormant_flag,dormant_since,data_class
A0000001,C001267,SAVINGS,TRY,2020-09-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000002,C000640,CURRENT,TRY,2023-12-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000003,C000494,BUSINESS,TRY,2025-03-07,OPEN,False,,CONTROLLED_SYNTHETIC
A0000004,C000609,SAVINGS,TRY,2014-12-30,OPEN,False,,CONTROLLED_SYNTHETIC
A0000005,C001130,CURRENT,TRY,2023-05-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000006,C001203,PAYMENT,USD,2016-10-09,OPEN,False,,CONTROLLED_SYNTHETIC
A0000007,C000616,CURRENT,TRY,2026-01-02,OPEN,False,,CONTROLLED_SYNTHETIC
A0000008,C001737,CURRENT,TRY,2017-07-20,OPEN,False,,CONTROLLED_SYNTHETIC
A0000009,C000788,SAVINGS,TRY,2018-11-18,OPEN,False,,CONTROLLED_SYNTHETIC
A0000010,C001678,SAVINGS,TRY,2015-11-14,OPEN,False,,CONTROLLED_SYNTHETIC
A0000011,C000106,CURRENT,USD,2024-08-20,OPEN,True,1718150400000000000,CONTROLLED_SYNTHETIC
A0000012,C000290,SAVINGS,TRY,2018-11-08,OPEN,False,,CONTROLLED_SYNTHETIC
A0000013,C001392,CURRENT,TRY,2023-08-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000014,C001488,PAYMENT,USD,2023-09-15,OPEN,False,,CONTROLLED_SYNTHETIC
A0000015,C001005,PAYMENT,TRY,2022-05-26,OPEN,False,,CONTROLLED_SYNTHETIC
A0000016,C000800,SAVINGS,TRY,2017-02-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000017,C001209,BUSINESS,TRY,2015-08-13,OPEN,True,1733702400000000000,CONTROLLED_SYNTHETIC
A0000018,C001560,BUSINESS,TRY,2021-11-18,OPEN,False,,CONTROLLED_SYNTHETIC
A0000019,C001446,CURRENT,TRY,2021-09-01,OPEN,True,2025-06-26 00:00:00,CONTROLLED_SYNTHETIC
A0000020,C001116,BUSINESS,TRY,2024-10-07,OPEN,True,1732406400000000000,CONTROLLED_SYNTHETIC
A0000021,C001479,PAYMENT,TRY,2024-02-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000022,C000894,SAVINGS,TRY,2023-10-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000023,C000912,CURRENT,TRY,2016-12-12,OPEN,False,,CONTROLLED_SYNTHETIC
A0000024,C001474,CURRENT,USD,2015-09-16,OPEN,False,,CONTROLLED_SYNTHETIC
A0000025,C000282,BUSINESS,TRY,2019-10-30,OPEN,False,,CONTROLLED_SYNTHETIC
A0000026,C000884,SAVINGS,TRY,2022-12-18,OPEN,False,,CONTROLLED_SYNTHETIC
A0000027,C001566,SAVINGS,TRY,2024-07-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000028,C000456,SAVINGS,TRY,2025-11-29,OPEN,False,,CONTROLLED_SYNTHETIC
A0000029,C000755,BUSINESS,TRY,2016-07-31,OPEN,False,,CONTROLLED_SYNTHETIC
A0000030,C001598,SAVINGS,TRY,2025-10-07,OPEN,False,,CONTROLLED_SYNTHETIC
A0000031,C000240,CURRENT,TRY,2017-02-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000032,C000961,CURRENT,TRY,2024-09-03,OPEN,False,,CONTROLLED_SYNTHETIC
A0000033,C001582,CURRENT,TRY,2019-04-27,OPEN,False,,CONTROLLED_SYNTHETIC
A0000034,C000664,BUSINESS,TRY,2024-01-11,OPEN,False,,CONTROLLED_SYNTHETIC
A0000035,C000693,PAYMENT,TRY,2023-09-06,OPEN,False,,CONTROLLED_SYNTHETIC
A0000036,C000793,CURRENT,TRY,2021-06-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000037,C001563,SAVINGS,USD,2016-11-28,OPEN,False,,CONTROLLED_SYNTHETIC
A0000038,C001057,SAVINGS,USD,2018-12-30,OPEN,False,,CONTROLLED_SYNTHETIC
A0000039,C001202,SAVINGS,USD,2016-03-19,OPEN,False,,CONTROLLED_SYNTHETIC
