customer_id,customer_label,customer_type,segment,residence_country,onboarding_channel,onboarding_date,pep_flag,synthetic_watchlist_match,occupation_risk,expected_monthly_turnover_try,expected_tx_count_30d,kyc_review_due_date,beneficial_owner_complete,source_of_funds_verified,data_class
C000001,Synthetic Customer 000001,INDIVIDUAL,MASS,TR,DIGITAL,2019-06-22,False,False,MEDIUM,135433.250000,28,2027-05-15,True,True,CONTROLLED_SYNTHETIC
C000002,Synthetic Customer 000002,CORPORATE,COMMERCIAL,TR,DIGITAL,2021-08-28,False,False,LOW,70020.380000,28,2027-04-08,True,True,CONTROLLED_SYNTHETIC
C000003,Synthetic Customer 000003,INDIVIDUAL,MASS,GB,RELATIONSHIP_MANAGER,2025-01-03,False,False,LOW,54538.100000,28,2027-09-07,True,True,CONTROLLED_SYNTHETIC
C000004,Synthetic Customer 000004,INDIVIDUAL,MASS,TR,DIGITAL,2020-10-29,False,False,LOW,15183.870000,28,2027-03-30,True,True,CONTROLLED_SYNTHETIC
C000005,Synthetic Customer 000005,INDIVIDUAL,MASS,TR,BRANCH,2020-07-21,False,False,LOW,64190.710000,27,2026-08-09,True,True,CONTROLLED_SYNTHETIC
C000006,Synthetic Customer 000006,INDIVIDUAL,MASS,TR,BRANCH,2024-01-01,True,False,LOW,131663.590000,34,2026-08-08,True,True,CONTROLLED_SYNTHETIC
C000007,Synthetic Customer 000007,CORPORATE,SME,XH,BRANCH,2023-02-24,False,False,LOW,17472.300000,40,2027-02-14,True,True,CONTROLLED_SYNTHETIC
C000008,Synthetic Customer 000008,INDIVIDUAL,AFFLUENT,TR,BRANCH,2024-05-09,False,False,LOW,38598.220000,23,2026-07-22,True,True,CONTROLLED_SYNTHETIC
C000009,Synthetic Customer 000009,INDIVIDUAL,MASS,TR,DIGITAL,2021-01-27,False,False,LOW,43924.100000,22,2026-04-11,True,False,CONTROLLED_SYNTHETIC
C000010,Synthetic Customer 000010,INDIVIDUAL,AFFLUENT,TR,RELATIONSHIP_MANAGER,2018-03-20,False,False,LOW,118800.000000,23,2026-08-08,True,True,CONTROLLED_SYNTHETIC
C000011,Synthetic Customer 000011,INDIVIDUAL,MASS,TR,DIGITAL,2024-05-31,False,False,LOW,71870.490000,31,2027-04-30,True,False,CONTROLLED_SYNTHETIC
C000012,Synthetic Customer 000012,INDIVIDUAL,MASS,TR,DIGITAL,2022-10-02,False,False,LOW,16386.350000,22,2027-08-12,True,True,CONTROLLED_SYNTHETIC
C000013,Synthetic Customer 000013,INDIVIDUAL,MASS,TR,DIGITAL,2024-11-03,False,False,LOW,291059.560000,26,2025-08-18,True,True,CONTROLLED_SYNTHETIC
C000014,Synthetic Customer 000014,INDIVIDUAL,MASS,TR,DIGITAL,2021-08-08,False,False,LOW,187349.190000,27,2027-01-29,True,True,CONTROLLED_SYNTHETIC
C000015,Synthetic Customer 000015,INDIVIDUAL,AFFLUENT,TR,DIGITAL,2021-07-21,False,False,LOW,176818.590000,29,2027-09-19,True,True,CONTROLLED_SYNTHETIC
C000016,Synthetic Customer 000016,INDIVIDUAL,MASS,TR,DIGITAL,2024-01-01,False,False,LOW,18832.660000,29,2026-07-31,True,True,CONTROLLED_SYNTHETIC
