source_id,target_id,relationship_type,evidence_source
C001267,A0000001,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000640,A0000002,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000494,A0000003,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000609,A0000004,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001130,A0000005,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001203,A0000006,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000616,A0000007,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001737,A0000008,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000788,A0000009,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001678,A0000010,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000106,A0000011,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000290,A0000012,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001392,A0000013,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001488,A0000014,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001005,A0000015,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000800,A0000016,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001209,A0000017,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001560,A0000018,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001446,A0000019,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001116,A0000020,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001479,A0000021,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000894,A0000022,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000912,A0000023,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001474,A0000024,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000282,A0000025,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000884,A0000026,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001566,A0000027,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000456,A0000028,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000755,A0000029,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001598,A0000030,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000240,A0000031,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000961,A0000032,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001582,A0000033,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000664,A0000034,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000693,A0000035,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C000793,A0000036,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001563,A0000037,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
C001057,A0000038,OWNS_ACCOUNT,SYNTHETIC_CORE_BANKING
