case_id,scenario_id,customer_id,injection_start,injection_end,validation_only,data_class
VC0055,CIRCULAR_TRANSFER,C000448,2026-06-27 12:00:00,2026-06-27 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0055,CIRCULAR_TRANSFER,C001016,2026-06-27 12:00:00,2026-06-27 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0055,CIRCULAR_TRANSFER,C001741,2026-06-27 12:00:00,2026-06-27 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0056,CIRCULAR_TRANSFER,C000626,2026-08-14 12:00:00,2026-08-14 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0056,CIRCULAR_TRANSFER,C000873,2026-08-14 12:00:00,2026-08-14 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0056,CIRCULAR_TRANSFER,C001152,2026-08-14 12:00:00,2026-08-14 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0057,CIRCULAR_TRANSFER,C000052,2026-07-04 12:00:00,2026-07-04 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0057,CIRCULAR_TRANSFER,C000550,2026-07-04 12:00:00,2026-07-04 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0057,CIRCULAR_TRANSFER,C001180,2026-07-04 12:00:00,2026-07-04 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0058,CIRCULAR_TRANSFER,C001218,2026-06-29 12:00:00,2026-06-29 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0058,CIRCULAR_TRANSFER,C001344,2026-06-29 12:00:00,2026-06-29 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0058,CIRCULAR_TRANSFER,C001706,2026-06-29 12:00:00,2026-06-29 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0059,CIRCULAR_TRANSFER,C000087,2026-07-09 12:00:00,2026-07-09 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0059,CIRCULAR_TRANSFER,C000389,2026-07-09 12:00:00,2026-07-09 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0059,CIRCULAR_TRANSFER,C001105,2026-07-09 12:00:00,2026-07-09 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0060,CIRCULAR_TRANSFER,C000894,2026-07-13 12:00:00,2026-07-13 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0060,CIRCULAR_TRANSFER,C001284,2026-07-13 12:00:00,2026-07-13 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0060,CIRCULAR_TRANSFER,C001786,2026-07-13 12:00:00,2026-07-13 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0061,CIRCULAR_TRANSFER,C000646,2026-06-29 12:00:00,2026-06-29 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0061,CIRCULAR_TRANSFER,C001216,2026-06-29 12:00:00,2026-06-29 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0061,CIRCULAR_TRANSFER,C001409,2026-06-29 12:00:00,2026-06-29 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0062,CIRCULAR_TRANSFER,C000050,2026-07-22 12:00:00,2026-07-22 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0062,CIRCULAR_TRANSFER,C000054,2026-07-22 12:00:00,2026-07-22 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0062,CIRCULAR_TRANSFER,C001650,2026-07-22 12:00:00,2026-07-22 20:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0031,DORMANT_REACTIVATION,C000956,2026-07-24 17:00:00,2026-07-24 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0032,DORMANT_REACTIVATION,C000756,2026-08-04 17:00:00,2026-08-04 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0033,DORMANT_REACTIVATION,C000097,2026-07-25 17:00:00,2026-07-25 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0034,DORMANT_REACTIVATION,C001665,2026-08-08 17:00:00,2026-08-08 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0035,DORMANT_REACTIVATION,C001151,2026-08-14 17:00:00,2026-08-14 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0036,DORMANT_REACTIVATION,C000922,2026-08-13 17:00:00,2026-08-13 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0037,DORMANT_REACTIVATION,C001446,2026-07-28 17:00:00,2026-07-28 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0038,DORMANT_REACTIVATION,C001219,2026-07-24 17:00:00,2026-07-24 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0039,DORMANT_REACTIVATION,C001535,2026-07-22 17:00:00,2026-07-22 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0040,DORMANT_REACTIVATION,C000156,2026-07-16 17:00:00,2026-07-16 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0041,DORMANT_REACTIVATION,C001133,2026-08-12 17:00:00,2026-08-12 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0042,DORMANT_REACTIVATION,C001704,2026-07-16 17:00:00,2026-07-16 17:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0043,FUNNEL_MULE,C000447,2026-08-03 08:00:00,2026-08-04 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0044,FUNNEL_MULE,C001156,2026-07-24 08:00:00,2026-07-25 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0045,FUNNEL_MULE,C001595,2026-07-05 08:00:00,2026-07-06 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
VC0046,FUNNEL_MULE,C001540,2026-08-04 08:00:00,2026-08-05 02:00:00,True,SYNTHETIC_VALIDATION_TRUTH
